"","city","citycode","Occupational Diversity","Occupational Diversity Excluding First Quartile Exposure Jobs","Occupational Diversity Excluding the Bottom Two Exposure Levels","wage"
"124","忻州",140900,1.893667,1.574799,0.9863567,82577
"125","怀化",431200,1.918172,1.567866,0.9999812,55492
"126","怒江",533300,1.685538,1.556454,0.9612366,120187
"127","恩施",422800,1.943782,1.566742,0.9959928,NA
"128","惠州",441300,1.688286,1.573277,0.9854376,101386
"129","成都",510100,1.927132,1.548982,0.999502,NA
"130","扬州",321000,1.822019,1.55291,0.993045,NA
"131","承德",130800,1.915005,1.551854,0.9845045,90747
"132","抚州",361000,1.734239,1.570143,0.9932522,81415
"133","抚顺",210400,1.92795,1.582802,0.9985688,82659
"134","拉萨",540100,1.937643,1.532881,0.9384156,NA
"135","揭阳",445200,1.908689,1.559033,0.9953989,NA
"136","攀枝花",510400,1.9009,1.56115,0.9644119,NA
"137","文山",532600,1.861787,1.53923,0.9444633,102756
"138","新余",360500,1.837749,1.578755,0.9986107,96386
"139","新乡",410700,1.940362,1.573227,0.999673,71813
"140","无锡",320200,1.836862,1.533352,0.9726717,NA
"141","日喀则",540200,1.465782,1.503667,0.9566523,NA
"142","日照",371100,1.939862,1.552371,0.9952041,NA
"143","昆明",530100,1.903501,1.568155,0.9947129,118676
"144","昌吉",652300,1.873782,1.58335,0.9988092,NA
"145","昌都",540300,1.827652,1.573757,0.9882836,NA
"146","昭通",530600,1.787578,1.539299,0.9887823,103231
"147","晋中",140700,1.934101,1.57419,0.9869754,87352
"148","晋城",140500,1.901253,1.564606,0.9888589,89449
"149","普洱",530800,1.960708,1.541778,0.9898661,107163.28
"150","景德镇",360200,1.905037,1.584442,0.9992197,79880
"151","曲靖",530300,1.850456,1.577014,0.9998307,100843
"152","朔州",140600,1.871015,1.521793,0.9877895,94672
"153","朝阳",211300,1.961316,1.567037,0.9863795,76898
"154","本溪",210500,1.955346,1.540709,0.9372723,81097
"155","来宾",451300,1.802095,1.579131,0.9961812,83545.31
"156","杭州",330100,1.901186,1.521391,0.9995871,NA
"157","松原",220700,1.971313,1.584038,0.9992259,NA
"158","林芝",540400,1.678821,1.339068,0.7062741,NA
"159","果洛",632600,1.817125,1.366315,0.940286,NA
"160","枣庄",370400,1.885983,1.564272,0.999881,NA
"161","柳州",450200,1.884739,1.571868,0.994899,95791.53
"162","株洲",430200,1.878022,1.54916,0.9831154,74499
"163","桂林",450300,1.887343,1.563322,0.9858375,89309.35
"164","梅州",441400,1.958807,1.574578,0.9940302,NA
"165","梧州",450400,1.868964,1.555304,0.966917,82920.18
"166","楚雄",532300,1.863791,1.577723,0.9979182,100408
"167","榆林",610800,1.876556,1.563968,0.9895875,108985
"168","武威",620600,1.860027,1.534334,0.9960492,86065.76
"169","武汉",420100,1.898712,1.544357,0.9998611,129004
"170","毕节",520500,1.732216,1.558923,0.9928521,NA
"171","永州",431100,1.883023,1.527901,0.9989173,54561
"172","汉中",610700,1.950997,1.562123,0.9938859,75469
"173","汕头",440500,1.899724,1.556503,0.9984823,NA
"174","汕尾",441500,1.735061,1.582152,0.9963567,97474
"175","江门",440700,1.596971,1.551541,0.9884262,98720
"176","池州",341700,1.69994,1.567285,0.9982097,98596
"177","沈阳",210100,1.942893,1.567997,0.9938239,107648
"178","沧州",130900,1.918292,1.56016,0.9995881,93086
"179","河池",451200,1.86664,1.543762,0.9439529,91439.32
"180","河源",441600,1.943297,1.561246,0.9846097,91606
